name,header_url,city,county,postal_cod,latitude,longitude,FORMAL_EN,POP_EST,POP_YEAR,GDP_YEAR,ECONOMY,INCOME_GRP,CONTINENT,REGION_UN,SUBREGION,icon_url
Markham MakerSpace,,Cercado de Lima,Lima,"15048",-12.125100763884600,-77.016285696295100,Republic of Peru,"31036656","2017","2016",5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,
FabLab SALERNO,,SALERNO,SA,"84131",40.656700000000001,14.804059999999900,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
PSHS-CLC Innovation Center,,Clark Freeport Zone,Pampanga,,15.194250100000000,120.534012000000004,Republic of the Philippines,"104256076","2017","2016",5. Emerging region: G20,4. Lower middle income,Asia,Asia,South-Eastern Asia,
Fablab Vagur,http://fablabs.io.s3.amazonaws.com/2020/02/03/12/10/32/5c1b24fa-e5b5-48cf-9ac1-934de4c75b5d/komp.jpg,V�gur,Suduroy,"900",61.473637400000001,-6.807218900000000,Føroyar Is. (Faeroe Is.),"50730","2017","2014",2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Northern Europe,./0.png
TyFab,http://fablabs.io.s3.amazonaws.com/2017/01/28/13/48/59/8e946a67-1cae-42b6-8a35-667650271882/TyFab.jpg,Brest,,"29200",48.399454100000000,-4.472260600000030,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
SEDI-Cup-ct,,Cartagena,Murcia,"30202",37.601721706924600,-0.979470906676511,Kingdom of Spain,"48958159","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
La Bonne Fabrique,http://fablabs.io.s3.amazonaws.com/2020/01/07/15/36/34/774e81d8-6fb7-49d2-9a58-e54828d118f0/atelier-01-01.png,Le Sappey-en-Chartreuse,,"38700",45.259480000000003,5.777060000000010,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Fablab Dapitan,http://fablabs.io.s3.amazonaws.com/2020/01/08/01/43/35/f87eef18-7e11-47a6-9292-5d418c1791df/fl.jpg,Dapitan City,Zamboanga del Norte,"7101",8.622603771490800,123.392510963476994,Republic of the Philippines,"104256076","2017","2016",5. Emerging region: G20,4. Lower middle income,Asia,Asia,South-Eastern Asia,
FabLab Radom,,Radom,,,51.402890900000003,21.141641000000000,Republic of Poland,"38476269","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Eastern Europe,./0.png
OX SCHOOL OF CONSTRUCTION RESOURCE CENTER FABLAB,http://fablabs.io.s3.amazonaws.com/2020/01/13/19/37/11/53f26a7b-d742-4cbb-a9ba-49dbc5f8960e/thumbnail_osocrc.png,ORLANDO,FL,"32804",28.552474600000000,-81.394406700000005,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
DAD-workshop,,Lubart�w County,Lublin Voivodeship,,51.678565700000000,22.298459900000001,Republic of Poland,"38476269","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Eastern Europe,./0.png
RuralLab,http://fablabs.io.s3.amazonaws.com/2017/01/28/13/49/00/95c7b9f2-a034-4b2b-931d-43ced33ddfb1/RuralLab.jpg,N�ons-sur-Creuse,,"36220",46.744745999999999,0.931697999999983,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Fab Lab Maker Educ,http://fablabs.io.s3.amazonaws.com/2020/01/24/12/15/51/4e9f1570-0cea-4367-921d-e985ce8a16bb/WhatsApp Image 2019-12-20 at 17.20.03.jpeg,Mossor�,RN,59619-040,-5.180492600000000,-37.350047300000000,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
Factory Two,http://fablabs.io.s3.amazonaws.com/2020/01/24/21/04/22/36031952-8686-4f9b-b2b5-1722c516ad6b/f2ban.png,Flint,Michigan,"48503",43.016022000000000,-83.697760000000002,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
